S. No;Quotation;Author;;;;;;;;;;;;;;;;;;
172;It requires courage not to surrender oneself to the ingenious or compassionate counsels of despair that would induce a man to eliminate himself from the ranks of the living;;;;;;;;;;;;;;;;;;;
173;He who loved himself became great in himself, and he who loved others became great through his devotion, but he who loved God became greater than all.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
174;A human being is spirit. But what is spirit? Spirit is the self. But what is the self? The self is a relation that relates itself to itself or is the relation's relating itself to itself in the relation;;;;;;;;;;;;;;;;;;;
175;In a theater, it happened that a fire started offstage. The clown came out to tell the audience. They thought it was a joke and applauded. He told them again, and they became still more hilarious. This is the way, I suppose, that the world will be destroyed-amid the universal hilarity of wits and wags who think it is all a joke.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
176;And no Grand Inquisitor has in readiness such terrible tortures as has anxiety, and no spy knows how to attack more artfully the man he suspects, choosing the instant when he is weakest, nor knows how to lay traps where he will be caught and ensnared, as anxiety knows how, and no sharp-witted judge knows how to interrogate, to examine the accused as anxiety does, which never lets him escape, neither by diversion nor by noise, neither at work nor at play, neither by day nor at night.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
177;Above all, do not lose your desire to walk: every day I walk myself into a state of well being and walk away from every illness. I have walked myself into my best thoughts, and I know of no thought so burdensome that one cannot walk away from it.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
178;It is quite true what Philosophy says: that Life must be understood backwards. But that makes one forget the other saying: that it must be lived—forwards. The more one ponders this, the more it comes to mean that life in the temporal existence never becomes quite intelligible, precisely because at no moment can I find complete quiet to take the backward- looking position.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
179;People try to persuade us that the objections against Christianity spring from doubt. That is a complete misunderstanding. The objections against Christianity spring from insubordination, the dislike of obedience, rebellion against all authority. As a result, people have hitherto been beating the air in their struggle against objections, because they have fought intellectually with doubt instead of fighting morally with rebellion.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
180;Faith is the highest passion in a man.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
181;In the deepest sense, the being in a state of sin is the sin, the particular sins are not the continuation of sin, they are expressions of its continuation.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
182;شاعر کیست؟ انسانی اندوهگین که غم ژرفش را در قلب نهان می دارد; اما لب هایش چنان حالتی یافته اند که وقتی آه می کشد و ناله بر می آورد; از بین دو لب نغمه ای دلنشین به گوش می رسد. مردمی که در اطراف او جمع شده اند; می گویند: «باز هم بخوان;» که معنایش آن است که: «باشد که باز دردها روحت را شکنجه دهند; تا ما با نغمه ی ناله هایت به وجد آییم.»;Søren Kierkegaard,;;;;;;;;;;;;;
183;If someone who wanted to learn to dance were to say: For centuries, one generation after the other has learned the positions, and it is high time that I take advantage of this and promptly begin with the quadrille--people would presumably laugh a little at him, but in the world of spirit this is very plausible. What, then, is education? I believed it is the course the individual goes through in order to catch up with himself, and the person who will not go through this course is not much helped by being born in the most enlightened age.;Kierkegaard Soren;;;;;;;;;;;;;;;;;;
184;To dare is to momentarily lose one’s footing. But not to dare is to lose one’s self.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
185;Loving just one is too little;;;;;;;;;;;;;;;;;;;
186;You, who are so observant, will no doubt concede the generalization that people divide into two large classes, those who live mainly in hope and those who live mainly in recollection.;Soren Kierkegaard,;;;;;;;;;;;;;;;;;;
187;My life is absolutely meaningless. When I consider the different periods into which it falls, it seems like the word Schnur in the dictionary, which means in the first place a string, in the second, a daughter-in-law. The only thing lacking is that the word Schnur should mean in the third place a camel, in the fourth, a dust-brush.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
188;To defend something is always to discredit it. Let a man have a warehouse full of gold, let him be willing to give away a ducat to every one of the poor - but let him also be stupid enough to begin this charitable undertaking of his with a defence in which he offers three good reasons in justification;;;;;;;;;;;;;;;;;;;
189;I have never been joyful, and yet it has always seemed as if joy were my constant companion, as if the buoyant jinn of joy danced around me, invisible to others but not to me, whose eyes shone with delight. Then when I walk past people, happy-go-lucky as a god, and they envy me because of my good fortune, I laugh, for I despise people, and I take my revenge. I have never wished to do anyone an injustice, but I have always made it appear as if anyone who came close to me would be wronged and injured. Then when I hear others praised for their faithfulness, their integrity, I laugh, for I despise people, and I take my revenge. My heart has never been hardened toward anyone, but I have always made it appear, especially when I was touched most deeply, as if my heart were closed and alien to every feeling. Then when I hear others lauded for their good hearts, see them loved for their deep, rich feelings, then I laugh, for I despise people and take my revenge. When I see myself cursed, abhorred, hated for my coldness and heartlessness, then I laugh, then my rage is satisfied. The point is that if the good people could make me be actually in the wrong, make me actually do an injustice-well, then I would have lost.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
190;They call themselves believers and thereby signify that they are pilgrims, strangers and aliens in the world. Indeed, a staff in the hand does not identify a pilgrim as definitely as calling oneself a believer publicly testifies that one is on a journey, because faith simply means: What I am seeking is not here, and for that very reason I believe it. Faith expressly signifies the deep, strong, blessed restlessness that drives the believer so that he cannot settle down at rest in this world, and therefore the person who has settled down completely at rest has also ceased to be a believer, because a believer cannot sit still as one sits with a pilgrim's staff in one's hand – a believer travels forward;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
191;ماذا لو أن كل شيئ في هذا العالم هو عبارة عن سوء فهم؟ ماذا لو أن الضحك في الحقيقة هو عبارة عن بكاءء;سورين كيركجارد;;;;;;;;;;;;;;;;;;
192;I am so fed up and joyless that not only have I nothing to fill my soul, I cannot even conceive of anything that could possibly satisfy it - alas, not even the bliss of heaven.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
193;When I get up in the morning, I go right back to bed again. I feel best in the evening the moment I put out the light and pull the feather-bed over my head. I sit up once more, look around the room with indescribable satisfaction, and then good night, down under the feather-bed.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
194;Our age is essentially one of understanding and reflection, without passion, momentarily bursting into enthusiasm and shrewdly relapsing into repose.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
195;"... به همین خاطر است که جان من پیوسته به سوی عهد عتیق و شکسپیر باز می گردد: آن جا حداقل احساس می کنی که موجودی انسانی سخن می گوید؛ آن جا مردم نفرت می ورزند"; عشق می ورزند;" مردم دشمنانشان را به قتل می رسانند و فرزندانشان را نسل بعد از نسل نفرین می کنند؛ آن جا مردم گناه می کنند.";Søren Kierkegaard,;;;;;;;;;;;;;;;;
196;About as genuine as tea made from a bit of paper which once lay in a drawer beside another piece of paper which had been used to wrap up a few tea leaves from which tea had already been made three times.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
197;I opened my eyes and saw the real world, and I began to laugh, and i haven't stopped since.;søren kierkegaard,;;;;;;;;;;;;;;;;;;
198;عصر ما به موجب ذات خود; عصر تعمّق و فهم است; امّا از شور و شوق خالی است. همه کس همه چیز را می داند; همه کس می داند به چه راهی باید رفت و هر راه با راه دیگر چه تفاوت های جزئی ای دارد; امّا هیچ کس اراده ی حرکت ندارد.;Søren Kierkegaard,;;;;;;;;;;;;;;
199;Faith is a marvel, and yet no human being is excluded from it;;;;;;;;;;;;;;;;;;;
200;"بی شک هیچ گاه عشق را تجربه نکرده؛ روحش بیش از آن آزاد است که عاشق بوده باشد.";Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
